abr;descr_d
LING_PORTU;LÍNGUA PORTUGUESA
MATEMATICA;MATEMÁTICA
GESTAO;GESTÃO ESCOLAR
ATV_CO_MAT;ATIVIDADE COMPLEMENTAR DE MATEMÁTICA
ADMINISTRA;ADMINISTRADOR
LING_ESTRA;LINGUA ESTRANGEIRA
ARTE_EDUC;ARTE E EDUCAÇÃO
ATV_CO_POR;ATIVIDADE COMPLEMENTAR DE PORTUGUÊS
CID_RE_SOC;CIDADANIA E RESPONSABILIDADE SOCIAL
CIENCIAS;CIÊNCIAS
ED_FISICA;EDUCAÇÃO FÍSICA
ED_SOC_EMO;EDUCAÇÃO SOCIOEMOCIONAL
ENS_RELIGI;ENSINO RELIGIOSO
GEOGRAFIA;GEOGRAFIA
HISTORIA;HISTÓRIA
MUSICA;MUSICA
PRO_CA_VID;PROJETO CAMINHOS DE VIDA
LET_RACIAL;LETRAMENTO RACIAL
HIS_LOCAL;HISTÓRIA LOCAL
INIC_CIENT;INICIAÇÃO CIENTÍFICA
CULT_DIGIT;CULTURA DIGITAL
HIST_CEARA;HISTÓRIA DO CEARÁ
HIST_MUNIC;HISTÓRIA DO MUNICIPIO
